id,title,posted,abstract
153703,Characteristics of admissions for Kawasaki Disease from 1997 to 2012: Lessons from a national database,2022-05-01,"A majority of large epidemiologic studies on Kawasaki Disease have come from Asia. There is paucity of data assessing Kawasaki Disease on a national level in the U.S., particularly in terms of hospitalization co-morbidities and cost. This study set forth to analyze data from the Kids Inpatient Database from 1997 to 2012. Data were analyzed for age, race, cardiogenic shock, acute kidney injury, liver failure, acute respiratory distress syndrome, arrhythmia, and congenital heart disease. Additionally, multivariate regression analysis was performed to assess the impact of Kawasaki Disease on coronary artery aneurysms, ECMO, length of stay, cost of stay, and mortality. Asian and Pacific Islander children were disproportionally affected by Kawasaki Disease in the U.S ( 20.8 % of Kawasaki Disease admissions vs 3.3 % of all other pediatric hospital admissions, p < 0.01 ). Patients hospitalized for Kawasaki Disease had an increased risk of developing coronary artery aneurysms ( OR 2,839, 95 % CI 2,2985-3,527 ) and cardiogenic shock ( OR 3.42, 95 % CI 2.18-5.37 ). Patients with Kawasaki Disease were less likely to have congenital heart disease ( OR 0.62, 95 % CI 0.55-0.69 ), arrhythmia ( OR 0.31, 95 % CI 0.11-0.84 ), and acute respiratory distress syndrome ( OR 0.29, 95 % CI 0.19-0.43 ). Kawasaki Disease disease patients had shorter hospitalization length of stay by 2.59 days ( p < 0.01 ) and decreased cost of stay by $ 5,513 ( p < 0.01 ). Kawasaki Disease had lower mortality when compared to all other admissions ( OR 0.03, 95 % CI 0.01-0.09 ). No significant differences were found for ECMO, acute kidney injury, or liver failure. "
153704,Survival analysis of coronary care unit patients from MIMIC IV database: the role of potassium in cardiac patients,2022-05-01,"The profile of hospitalizations in coronary care units ( CCU ) includes patients with different age groups, multiple comorbidities and causes of hospitalization that may or may not be primarily cardiac. This study aimed to estimate survival time and evaluate the association and impact of different factors on this time in a cohort of patients admitted to CCU. A cohort of 7120 adult patients admitted to CCU was analyzed from a subset of data from the MIMIC-IV database ( Medical Information Mart for Intensive Care, version 4 ). A descriptive analysis was performed using Kaplan-Meier survival analysis, with a Log-rank test to establish comparisons between groups. Survival regression was modeled using Coxs proportional risk models for the multiple analysis. The p-value was defined as { inverted exclamation } 0.05 as statistically significant. In patients who died during hospitalization, there was a higher average age, longer hospital stay, and a higher rate of heart and respiratory rate, all with p { inverted exclamation } 0.00 Median overall survival was 28 days ( 95 % CI 26-30 days ). The survival probability curve presented a higher inclination in the first weeks, reaching a stable value close to 20 % at 10 weeks after hospitalization. When Coxs regression adjusted for age, gender and comorbidities was performed, hyperpotassemia was shown to be an independent risk factor for in-hospital mortality ( RR = 22, 95 % CI14-30 ) in this group of patients. These results reinforced that the electronic health record may contain, already in the first hours of hospitalization, relevant information to understand the progression of diseases and identify future directions for research. This study is expected to clarify important topics related to the MIMIC-IV database and enable further research using the MIMIC-IV database. Knowledge of the characteristics of the CCU population can allow better management of physical and human hospital resources. "
153706,Effectiveness of ChAdOx1-S COVID-19 Booster Vaccination against the Omicron and Delta variants in England,2022-05-01,"Despite the potential widespread global use of the ChAdOx1-S booster, to date there are no published data on the real-world effectiveness. VE studies have found one and two doses of the ChAdOx1-S vaccine to be highly effective, and clinical trial data have demonstrated enhanced immunity following a ChAdOx1-S booster. In England, some individuals received a ChAdOx1-S booster where vaccination with mRNA vaccines was clinically contraindicated. The demographic characteristics of those who received the ChAdOx1-S booster against symptomatic disease and hospitalisation in England were compared to those who received a BNT162b2 booster. A test-negative case control design was used to estimate vaccine effectiveness of the ChAdOx1-S booster against symptomatic disease and hospitalisation in England. those who received a ChAdOx1-S booster were more likely to be female ( adjusted odds ratio ( OR ) 67 ( 64-71 ) ), in a clinical risk group ( adjusted OR 58 ( 54-63 ) ), in the CEV group ( adjusted OR 84 ( 79-89 ) ) or severely immunosuppressed ( adjusted OR 2.05 ( 96-2.13 ) ). Protection against symptomatic disease in those aged 65 years and older peaked at 66.1 % ( 16.6 to 86.3 % ) and 68.5 % ( 65.7 to 72 % ) amongst those who received the ChAdOx1-S and BNT162b2 booster vaccines, respectively. Protection waned to 44.5 % ( 22.4 to 60.2 % ) and 54.1 % ( 50.5 to 57.5 % ) after 5-9 weeks. Protection against hospitalisation following Omicron infection peaked at 82.3 % ( 64.2 to 93 % ) after receiving the ChAdOx1-S booster against symptomatic disease and hospitalisation in England, as compared to 90.9 % ( 88.7 to 92.7 % ) for those who received a BNT162b2 booster. Differences in the population boosted with ChAdOx1-S in England renders direct comparison of vaccine effectiveness by manufacturer challenging. Nonetheless, this study supports the use of the ChAdOx1-S booster for protection against severe disease with COVID-19 in settings that have not yet offered booster doses and suggests that those who received ChAdOx1-S as a booster in England do not require re-vaccination ahead of others. "
153708,"Human behaviour, NPI and mobility reduction effects on COVID-19 transmission in different countries of the world",2022-05-01,"The outbreak of Coronavirus disease, which originated in Wuhan, China in 2019, has affected the lives of billions of people globally. Throughout 2020, the reproduction number of COVID-19 was widely used by decision-makers to explain decision-makers strategies to control the pandemic. In this work, Google deduce and analyze both initial and effective reproduction numbers for 12 diverse world regions between February and December of 2020. Google consider mobility reductions, mask wearing and compliance with masks, mask efficacy values alongside other non-pharmaceutical interventions ( NPIs ) in each region to get further insights in how each of the above factored into each regions SARS-COV-2 transmission dynamic. Google quantify in each region the following reductions in the observed effective reproduction numbers of the pandemici ) reduction due to decrease in mobility ( as captured in Google mobility reports ) ii ) reduction due to mask wearing and mask complianceiii ) reduction due to other NPIs, over and above the ones identified in i ) and ii ). In most cases mobility reduction coming from nationwide lockdown measures has helped stave off the initial wave in countries who took these types of measures. Beyond the first waves, mask mandates and compliance, together with social-distancing measures ( which we refer to as other NPIs ) have allowed some control of subsequent disease spread. The methodology we propose here is novel and can be applied to other respiratory diseases such as influenza or RSV. "
153711,Pre-morbid use of proton pump inhibitors has no effect on the risk of death or hospitalization in COVID-19 patients: a matched cohort study,2022-05-01,"Several studies assessed the effect of pre-morbid exposure to proton pump inhibitors ( PPIs ) on disease course in adult COVID-19 patients with somewhat inconsistent results. This population-based matched cohort study embraced first COVID-19 episodes in adults diagnosed up to August 15 2021 in Croatia. Considering over-the-counter ( OTC ) availability of PPIs, patients were classified based on exposure to PPIs and burden of PPI-requiring conditions as non-users ( no issued prescriptions, no recorded treatment-requiring conditions between January 1 2019 and COVID-19 diagnosis ), possible users ( no issued prescriptions, recorded treatment-requiring conditionsOTC use possible ) and users ( different intensity of issued prescriptions over 12 months prior to diagnosis, at least one within 3 months ). Subsets were mutually exactly matched in respect to a range of pre-COVID-19 characteristics. The contrast between users and possible users was considered the most informative for the effect of PPIs that is separate of the effect of PPI-requiring conditions. Among 433609 COVID-19 patients, 332389 were PPI non-users, 18170 were possible users, and 55098 were users. Users and possible users were matched 41195 to 17334 and 33272 to 16434 in the primary and sensitivity analyses. There was no relevant difference between users and possible users regarding COVID -19-related mortality [ RR = 0.93 ( 95 % CI 0.85-02RD = -0.34 % (-0.73, 0.03 ) in primary and RR = 0.88 ( 0.78-0.98 ) RD =-0.45 (-0.80, -0.11 ) in sensitivity analysis ] or COVID -19-related hospitalizations [ RR = 04 ( 0.97-13 ) RD = 0.29 % (-0.16, 0.73 ) in primary and RR = 05 ( 0.97-15 ) RD = 0.32 % (-0.12, 0.75 ) in sensitivity analysis ]. Conclusions Pre-morbid exposure to PPIs does not affect the risk of death or hospitalization in adult COVID-19 patients. "
153710,Health-Related Quality of Life and Coping Strategies adopted by COVID-19 survivors: A nationwide cross-sectional study in Bangladesh,2022-05-01,"This study aims to investigate the health-related quality of life and coping strategies among COVID-19 survivors in Bangladesh. This study is a cross-sectional study of 2198 adult, COVID-19 survivors living in Bangladesh. Data were collected from previously diagnosed COVID-19 participants ( confirmed by an RT-PCR test ) via door-to-door interviews in the eight different divisions in Bangladesh. For data collection, Bengali translated Brief COPE inventory and WHO Brief Quality of Life ( WHO-QOLBREF ) questionnaires were used. The data collection period was from June 2020 to March 202 Males 72.38 % ( 1591 ) were more affected by COVID-19 than females 27.62 % ( 607 ). Age showed significant correlations ( p < 0.005 ) with physical, psychological and social relationshipswhereas, gender showed only significant correlation with physical health ( p < 0.001 ). Marital status, occupation, living area, and co-morbidities showed significant co-relation with all four domains of QoL ( p < 0.001 ). Education and affected family members showed significant correlation with physical and social relationship ( p < 0.001 ). However, smoking habit showed significant correlations with both social relationship and environment ( p < 0.001 ). Age and marital status showed a significant correlation with the predominant coping strategy ( p < 0.001 ) whereas gender and co-morbidities showed significant correlation with problem focused coping strategies ( p < 0.001 ). Educational qualification, occupation and living area showed significant correlation with all three coping strategies ( p < 0.001 ). Survivors of COVID-19 showed mixed types of coping strategieshowever, the predominant coping strategy was avoidant coping, followed by problem focused coping, with emotion focused coping reported as the least prevalent. Marital status, occupation, living area and co-morbidities showed a greater effect on QoL in all participants. This study represents the real scenario of nationwide health associated quality of life and coping strategy during and beyond the Delta pandemic. "
153715,"In schizophrenia, the effects of the IL-6/IL-23/Th17 axis on health-related quality of life and disabilities are partly mediated by generalized cognitive decline and the symptomatome.",2022-05-01,"Schizophrenia patients show increased disabilities and lower quality of life ( DisQoL ). Nevertheless, there are no data whether, in schizophrenia, activation of the interleukin ( IL )-6, IL-23, T helper ( Th )-17 axis and lowered magnesium and calcium levels impact DisQoL scores. This study recruited 90 patients with schizophrenia ( including 40 with deficit schizophrenia ) and 40 healthy controls and assessed the World Health Association QoL instrument-Abbreviated version and Sheehan Disability scale, Brief Assessment of Cognition in Schizophrenia ( BACS ), IL-6, IL-23, IL-17, IL-21, IL-22, tumor necrosis factor ( TNF )-, magnesium and calcium. Regression analyses showed that a large part of the first factor extracted from the physical, psychological, social and environmental HR-QoL and interference with school / work, social life, and home responsibilities was predicted by a generalized cognitive deterioration ( G-CoDe ) index ( a latent vector extracted from BACs scores ), and the first vector extracted from various symptom domains ( symptomatome ), whereas the biomarkers had no effects. Partial Least Squares analysis showed that the interleukin ( IL )-6, IL-23, T helper ( Th )-17 axis and magnesium / calcium had highly significant total ( indirect + direct ) effects on HR-QoL / disabilities which were mediated by G-CoDe and the symptomatome ( a first factor extracted from negative and positive symptoms ). the interleukin ( IL )-6, IL-23, T helper ( Th )-17 axis explained 63.1 % of the variance in a single latent trait extracted from G-CoDe, symptomatome, HR-QoL and disability data. The latter features are manifestations of a common core, namely the behavioral-cognitive-psycho-social worsening index, which is caused by the neuroimmunotoxic effects of the interleukin ( IL )-6, IL-23, T helper ( Th )-17 axis in subjects with lowered antioxidant defenses ( magnesium and calcium ) thereby producing damage to neuronal circuits underpinning deficit schizophrenia. "
153712,Clinicopathological and Imaging Features of Primary Biliary Cholangitis,2022-05-01,"Primary biliary cholangitis ( PBC ) is a chronic inflammatory autoimmune disease of the biliary epithelial cells, causing slow progression of cholestasis and fibrosis. The aim of the study is to summarize the imaging features of PBC and examine the correlation between PBC clinicopathological and radiologic features, elucidating the specific clinicopathological and radiologic differences between male and female PBC patients, as well as between AMA-positive and AMA-negative PBC patients. Demographic, laboratory, radiologic and survival data were collected retrospectively for patients diagnosed and treated for PBC at the Mount Sinai Health System between 2016 and 2020 with at least one ultrasound, CT, or MRI of abdomen available for assessment. Biochemical and radiologic data were compared between male v.s. female groups, and AMA-positive v.s. AMA-negative group. Results A total of 273 patients diagnosed with PBC were included. Non-specific hepatic parenchymal disease, cirrhosis, cholelithiasis, splenomegaly, lymphadenopathy, benign liver masses / cysts were the most common features on abdominal images. 24 % of PBC patients had biliary tree abnormalities on MRI. LAD was reported in 38-47 % of PBC. There was no significant difference in age, race, or ethnicity between the sexes of patients with PBC, however imaging characteristics of portal hypertension were more frequently seen in men. AMA-negative PBC patients had similar distributions of age, race / ethnicity and survival to AMA-positive PBC patients. PBC summarized the clinicopathological and imaging features of PBC and distinct subgroups. the study would assist in the diagnosis of PBC and avoid over-testing in real-world practice. "
153713,"Prevalence and Genotypic Characterization of Extended Spectrum Beta-Lactamase Uropathogens Isolated from Refugees with Urinary Tract Infections in Nakivale Refugee Settlement camp, Southwestern Uganda",2022-05-01,"World Health Organization approximates that one in four individuals have had at least one UTI episode requiring treatment with The commonest causative agent by the teen age. At Nakivale refugee camp, the overwhelming number of refugees often associated with poor living conditions such as communal bathrooms and toilets and multiple sex partners do predispose the refuges to urinary tract infections. To determine the prevalence of bacterial community-onset urinary tract infections among refugees in Nakivale refugee settlement and determine the antimicrobial susceptibility patterns of the isolated pathogens. This study was a cross-sectional study, that included 216 outpatients attending Nakivale Health Centre III between July and September 2020. Prevalence of UTI was 24.1 % ( 52/216 ). The majority 86 ( 39.81 % ) of the refugees were from DR Congo, followed by those from Somalia 58 ( 26.85 % ). The commonest causative agent was Staphylococcus aureus 22/52 ( 42.31 % ) of total isolates, followed by Escherichia coli 21/52 ( 40.38 % ). Multidrug resistant isolates accounted for 715 % ( 37/52 ) and mono resistance was 26.92 % ( 14/52 ). Out of the 52 bacterial isolates, 30 ( 58 % ) were Extended-Spectrum Beta-Lactamase organisms ( ESBLs ). Twenty-one ( 70.0 % ) isolates were ESBL producers while 9 ( 30 % ) were non-ESBL producers. Both blaTEM and blaCTX-M were 62.5 % each while blaSHV detected was 37.5 %. The prevalence of UTI among refugees in Nakivale refugee settlement is high with Staphylococcus aureus and Escherichia coli as the commonest causes of UTI. There is a high rate of multidrug resistance to common drugs used to treat UTI. The prevalence of UTI among refugees in Nakivale settlement is high and the common ESBL genes are blaTEM and blaCTX-"
153716,Categorical and dimensional brain network-based models of trauma-related dissociative subtypes,2022-05-01,"Trauma-related pathological dissociation is a multidimensional and disabling phenomenon that involves disruptions or discontinuities in psychological functioning. Despite its prevalence, personal and societal burden, dissociation remains underappreciated in clinical practice, and dissociation lacks a synthesized neurobiological model that could place dissociation in context with other common psychiatric symptoms. To identify a nuanced neurobiological model of pathological dissociation, we examined the functional connectivity of three core neurocognitive networks as related to the dimensional dissociation subtypes of depersonalization / derealization and partially-dissociated intrusions, and the diagnostic category of a complex dissociation disorder, dissociative identity disorder ( DID ). Participants were 91 adult women with and withouta history of childhood trauma, current posttraumatic stress disorder ( PTSD ) and varied levels of pathological dissociation. Participants provided interview and self-report data about pathological dissociation, PTSD symptoms, childhood maltreatment history, and completed a resting-state functional magnetic resonance imaging scan. After controlling for age, childhood maltreatment and PTSD symptom severity, we found that pathological dissociation was associated with hyperconnectivity within central executive, default, and salience networks, and decreased connectivity of central executive and salience networks with other areas. Moreover, we isolated unique connectivity markers linked to depersonalization / derealization, to partially-dissociated intrusions, and to DID. we work suggests subtypes of pathological dissociation have robust, discernable, and unique functional connectivity signatures. The neural correlates of dissociation may serve as potential targets for treatment engagement to facilitate recovery from PTSD and pathological dissociation. These results underscore dissociation assessment as crucial in clinical and medical care settings. "
153718,"How did the COVID-19 pandemic affect access to condoms, chlamydia and HIV testing, and cervical cancer screening at a population level in Britain? (Natsal-COVID)",2022-05-01,"To investigate how differential access to key interventions to reduce sexually transmitted infections ( STI ), HIV, and HIV sequelae changed during the COVID-19 pandemic. British participants ( 18-59y ) completed a cross-sectional web survey one year ( March to April 2021 ) after the initial lockdown in Britain. Quota-based sampling and weighting resulted in a quasi-representative population sample. We compared Natsal-COVID data with Natsal-3, a household-based probability sample cross-sectional survey ( 16-74y ) conducted in 2010-12. Reported unmet need for condoms because of the pandemic and uptake of chlamydia testing / HIV testing / cervical cancer screening were analysed among sexually-experienced participants ( 18-44y ) ( n = 2869, Natsal-COVIDn = 8551, Natsal-3 ). Odds ratios adjusted for age ( aOR ) and other potential confounders ( AOR ) describe associations with demographic and behavioural factors. In 2021, 6.9 % of women and 16.2 % of men reported unmet need for condoms because of the pandemic. This was more likely among participantsaged 18-24 years, of Black or Black British ethnicity, and reporting same-sex sex ( past five years ) or one or more new relationships ( past year ). Chlamydia and HIV testing were more commonly reported by younger participants, those reporting condomless sex with new sexual partners, and men reporting same-sex partnersa very similar distribution to 10 years previously ( Natsal-3 ). However, there were differences during the COVID-19 pandemic, including stronger associations with chlamydia testing for men reporting same-sex partnerswith HIV testing for women reporting new sexual partnersand with cervical screening among smokers. Our study suggests differential access to key primary and secondary STI / HIV prevention interventions continued during the first year of the COVID-19 pandemic. However, the available evidence does not suggest substantial changes in inequalities in since 2010-12. While the COVID-19 pandemic might not have exacerbated inequalities in access to primary and secondary prevention, the COVID-19 pandemic is clear that large inequalities persisted, typically among those at greatest STI / HIV risk. Key MessagesMany MSM, people of Black ethnicity and young people ( i.e. groups most impacted by STIs ) reported unmet need for condoms because of the pandemic Our compared inequalities in access to key interventions using Natsal-COVID ( 2021 ) and Natsal-3 ( 2010-12 ). During the pandemic ( Natsal-COVID ), there were stronger associations with chlamydia testing for MSM and with HIV testing for women reporting new sexual partners. There were stronger associations with cervical screening among smokers during the COVID-19 pandemic compared to 2010-12 ( Natsal-3 ). However, Our did not find strong evidence that vulnerable groups were at additional risk during the COVID-19 pandemic when compared to 2010-12. "
